Balanced_Activity,After_SMOTE
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,0
Inactive,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
Active,1
